uuid,vorname,nachname,geschlecht,geburtsjahr,todesjahr,vater,mutter,letzter_partner,erbfolge,kinderzahl,kinder,herkunft,kisatris_primogen,amtsantritt,comment,erbfolge_geburt
137,Julius Peter Julien Bernhard,von Tiefenfels,m,-484,-447,136,13,150,24,3,"221,225,241,",TF,Z,,,1
138,Franc,Freiherr von Mouton,m,-502,-484,,,,,0,,KS,Z,,,
139,Hermann,von Bergetal,m,-483,-434,13,14,369,16,3,"226,254,370,",BT,Z,,,1
140,Michael Philipp,von Tiefenfels,m,-483,-469,13,14,,24,0,,TF,Z,,,1
141,Charlotte Emma,von Tiefenfels,f,-482,-414,11,13,327,22,7,"226,239,266,302,308,376,592,",TF,Z,-424,Amtsantritt mit entfernung zum alten Fürsten: 3,1
142,Jasper Franz,von Möwenburg,m,-482,-430,11,13,170,17,5,"229,250,304,317,381,",MB,Z,-444,Amtsantritt mit entfernung zum alten Fürsten: 1,1
143,Agnes Catharina,Stöhr,f,-500,-482,,,102,,1,"144,",TF,Z,,,
144,Fritz Wilhelm Martin,von Möwenburg,m,-482,-455,102,143,251,18,2,"236,252,",MB,Z,,,1
145,Jacques Gustav Maximilian,von Kisatris,m,-482,-430,104,12,206,21,5,"245,295,313,329,332,",KS,AAB,,,1
146,Jacques Carl Christian Wilhelm Anton,von Kisatris,m,-482,-450,104,12,305,21,1,"306,",KS,AAC,,,1
147,Georg Johann,Freiherr von Sante,m,-500,-404,,,,,0,,KS,Z,,,
148,Leopold,Ruppert,m,-520,-463,,,,,0,,BT,Z,,,
149,Lea,Comtess von Montagne,f,-508,-481,,,12,,1,"150,",KS,Z,,,
150,Christian Carl,von Kisatris,m,-481,-461,12,149,137,21,1,"241,",KS,AAD,,,1
151,Julie,Baroness von Poisson,f,-500,-481,,,104,,1,"152,",KS,Z,,,
152,Anne Amalie Sibylle,von Kisatris,f,-481,-431,104,151,290,21,2,"269,468,",KS,ABC,,,1
153,Gustav,Freiherr von Mouton,m,-500,-481,,,107,,1,"154,",KS,Z,,,
154,Gustav Aldon Elurin,von Eichenwald,m,-481,-474,153,107,,18,0,,EW,Z,,,1
155,Georg,Merz,m,-520,-480,,,,,0,,BT,Z,,,
156,Johanna,Comtess von Aurore,f,-500,-473,,,104,,1,"157,",KS,Z,,,
157,Jacques Carl Christoph Louis Anton Andreas,von Kisatris,m,-480,-478,104,156,,21,0,,KS,ABD,,,1
158,Heinrich Caspar,Graf von Houle,m,-499,-416,,,109,,1,"159,",KS,Z,,,
159,Marie Lea,von Kisatris,f,-480,-438,158,109,285,21,3,"246,276,286,",KS,ACA,,,1
160,Wilhelm Friedrich,Rabe,m,-511,-479,,,,,0,,BT,Z,,,
161,Helene,Baronin von Paysage,f,-508,-468,,,12,,1,"162,",KS,Z,,,
162,Niroi Johann Maximilian Philipp Gustav,von Kisatris,m,-479,-469,12,161,,21,0,,KS,AAE,,,1
163,Ferdinand,Werner,m,-500,-460,,,15,,1,"164,",EW,Z,,,
164,Ferdinand Elurin Georg,von Eichenwald,m,-479,-476,163,15,,18,0,,EW,Z,,,1
165,Christian Jacob,Baron von  Lepain,m,-499,-407,,,,,0,,KS,Z,,,
166,Helene Jade,Gräfin von Montagne,f,-498,-479,,,,,0,,KS,Z,,,
167,Thorin,Keck,m,-538,-478,,,,,0,,BT,Z,,,
168,Johann Ludwig,Marquardt,m,-502,-478,,,14,,1,"169,",EW,Z,,,
169,Johann Joseph Richard Michael,von Bergetal,m,-478,-425,168,14,206,15,3,"334,340,441,",BT,Z,-425,Amtsantritt mit entfernung zum alten Fürsten: 1,1
170,Eva,von Eichenwald,f,-478,-442,11,15,142,18,4,"259,289,308,381,",EW,Z,,,1
171,Johanna Anne Elise,Baroness von Manson,f,-500,-478,,,,,0,,KS,Z,,,
172,Paul,Freiherr von Greve,m,-499,-471,,,109,,1,"173,",KS,Z,,,
173,Anne Elise Frieda,von Kisatris,f,-478,-448,172,109,12,21,4,"261,276,299,309,",KS,ACB,,,1
174,Ida,Gräfin von Aigul,f,-498,-463,,,111,,1,"175,",KS,Z,,,
175,Jules Andreas Georg Paul Philipp,von Kisatris,m,-478,-450,111,174,280,21,2,"278,281,",KS,ADA,,,1
176,Peter Martin Alrich,Hafner,m,-511,-477,,,,,0,,MB,Z,,,
177,Leo August Franc,Freiherr von Sante,m,-499,-446,,,109,,1,"178,",KS,Z,,,
178,Charlotte Sibylle,von Kisatris,f,-477,-399,177,109,349,21,2,"290,350,",KS,ACC,,,1
179,Maria,Hecht,f,-495,-476,,,116,,2,"180,183,",MB,Z,,,
180,Meril,von Eichenwald,f,-477,-466,116,179,,18,0,,EW,Z,,,1
181,Hermann Julius Anton,Schenk,m,-500,-454,,,15,,1,"182,",TF,Z,,,
182,Anton Maximilian Elohir,von Eichenwald,m,-476,-473,181,15,,18,0,,EW,Z,,,1
183,August Ludwig,von Eichenwald,m,-476,-470,116,179,,18,0,,EW,Z,,,1
184,Michael,Wilde,m,-520,-475,,,,,0,,EW,Z,,,
185,Theodor Heinrich Caspar,Endres,m,-500,-432,,,107,,1,"186,",TF,Z,,,
186,Sophia,von Eichenwald,f,-475,-432,185,107,282,17,3,"283,300,310,",EW,Z,-439,Amtsantritt mit entfernung zum alten Fürsten: 1,1
187,Eva Catharina,Freiin von Ciel,f,-498,-427,,,111,,1,"188,",KS,Z,,,
188,Catharina Helene,von Kisatris,f,-475,-443,111,187,206,21,2,"292,328,",KS,ADB,,,1
189,Peter Ludwig,Kilian,m,-520,-442,,,,,0,,BT,Z,,,
190,Martin Joachim,Uhlmann,m,-500,-474,,,,,0,,MB,Z,,,
191,Bernhard Joachim,Löhr,m,-505,-472,,,13,,1,"192,",BT,Z,,,
192,Friederike Amalie Johanna,von Tiefenfels,f,-472,-441,191,13,194,24,2,"327,373,",TF,Z,,,1
193,Ida Louise Elise,von Kisatris,f,-472,-455,2,15,,21,0,,KS,AE,,,1
194,Arwen Caroline,von Eichenwald,f,-472,-436,15,109,192,18,6,"312,324,331,342,352,373,",EW,Z,,,1
195,Nelenia Therese,Baronin von Poisson,f,-508,-439,,,,,0,,KS,Z,,,
196,Jade Johanna,Freifrau von Guerre,f,-498,-465,,,,,0,,KS,Z,,,
197,Therese,Freiin von Guerre,f,-489,-471,,,130,,1,"198,",KS,Z,,,
198,Johanna Anne Therese,von Kisatris,f,-471,-459,130,197,,20,0,,KS,AAAA,,,1
199,Jacob Jakob Kiirion,Hein,m,-520,-470,,,,,0,,EW,Z,,,
200,Theodor Michael,Binder,m,-511,-470,,,,,0,,TF,Z,,,
201,Camille Therese,Comtess von Houle,f,-498,-425,,,,,0,,KS,Z,,,
202,Alrich,Bischoff,m,-500,-469,,,,,0,,MU,Z,,,
203,Michael Martin,Ochs,m,-511,-468,,,,,0,,TF,Z,,,
204,Michael,Stark,m,-500,-468,,,,,0,,MB,Z,,,
205,Christiane,Comtess von Aigul,f,-500,-468,,,104,,1,"206,",KS,Z,,,
206,Niroi Anton Johannes,von Kisatris,m,-468,-418,104,205,456,21,4,"328,332,441,457,",KS,ABE,,,1
207,Jacques Johannes Anton,von Kisatris,m,-467,-421,2,13,390,21,4,"334,336,366,391,",KS,AF,,,1
208,Ernst Johann,Stange,m,-500,-467,,,,,0,,MB,Z,,,
209,Agnes Elise,Freiin von Guerre,f,-489,-433,,,,,0,,KS,Z,,,
210,Carl Hermann,Sommerfeld,m,-520,-466,,,,,0,,TF,Z,,,
211,Caspar Gustav Johannes,Dittmann,m,-511,-466,,,,,0,,TF,Z,,,
212,Caspar Maximilian Johann,Freiherr von Sante,m,-500,-466,,,,,0,,KS,Z,,,
213,Clement,Freiherr von Neige,m,-499,-452,,,109,,1,"214,",KS,Z,,,
214,Clement Niroi Frederic,von Kisatris,m,-466,-456,213,109,,21,0,,KS,ACD,,,1
215,Maximilian Theodor,von Tiefenfels,m,-465,-453,107,13,,24,0,,TF,Z,,,1
216,Caroline Charlotte,von Eichenwald,f,-465,-445,107,13,344,18,1,"345,",EW,Z,,,1
217,Johannes Jules Clement,Baron von Poisson,m,-500,-465,,,107,,1,"218,",KS,Z,,,
218,Clement Friedrich,von Eichenwald,m,-465,-449,217,107,,18,0,,EW,Z,,,1
219,Joseph,Freiherr von Neige,m,-499,-465,,,,,0,,KS,Z,,,
220,Sophie Caroline Anne,von Kisatris,f,-465,-410,137,12,342,21,7,"347,360,404,411,493,549,567,",KS,AAF,,,1
221,Julien Joseph Frederic Wilhelm,von Kisatris,m,-465,-453,137,12,,21,0,,KS,AAG,,,1
222,Richard Gustav Hermann Jacob,Heinz,m,-520,-464,,,,,0,,EW,Z,,,
223,Jakob,Kleinschmidt,m,-511,-464,,,,,0,,MB,Z,,,
224,Agnes Therese Clara,Höhn,f,-484,-454,,,137,,1,"225,",EW,Z,,,
225,Julius Carl Ludwig,von Tiefenfels,m,-464,-431,137,224,275,24,2,"355,429,",TF,Z,,,1
226,Hermann Hubertus Joachim Dwalin,von Bergetal,m,-464,-378,139,141,483,16,5,"368,426,544,558,769,",BT,Z,,,1
227,Andreas,Münch,m,-482,-430,,,,,0,,MB,Z,,,
228,Käthe Martha Juna,Lechner,f,-482,-389,,,142,,1,"229,",MB,Z,,,
229,Jasper Christoph Andreas Johannes Julius,von Möwenburg,m,-464,-427,142,228,459,16,3,"375,421,460,",MB,Z,-429,Amtsantritt mit entfernung zum alten Fürsten: 1,1
230,Juliane,Teichmann,f,-482,-413,,,,,0,,MB,Z,,,
231,Juliane Sophie,Freiin von Maree,f,-482,-464,,,,,0,,KS,Z,,,
232,Johann Theodor,Faber,m,-520,-463,,,,,0,,TF,Z,,,
233,Maximilian Gustav,Büttner,m,-511,-463,,,,,0,,EW,Z,,,
234,Nils Martin Bahne,Morgenstern,m,-482,-431,,,,,0,,MB,Z,,,
235,Ida Aliza Rahel,Rausch,f,-482,-463,,,144,,1,"236,",MU,Z,,,
236,Fritz Caspar,von Möwenburg,m,-463,-449,144,235,,18,0,,MB,Z,,,1
237,Julie Frieda,Gräfin von Houle,f,-482,-421,,,,,0,,KS,Z,,,
238,August Caspar,Baron von Manson,m,-481,-463,,,,,0,,KS,Z,,,
239,Amalia Judith Sophia,von Möwenburg,f,-462,-452,141,11,,18,0,,MB,Z,,,1
240,Julien Julius Theodor,von Tiefenfels,m,-462,-401,137,150,570,24,4,"376,394,516,571,",TF,Z,,,1
241,Peter Otto Joseph,von Tiefenfels,m,-462,-457,137,150,,24,0,,TF,Z,,,1
242,Japhi Tigrai Marianne Else,Boldt,f,-483,-440,,,,,0,,MU,Z,,,
243,Lea Eva Emma,Freifrau von Neige,f,-482,-462,,,,,0,,KS,Z,,,
244,Therese,Baroness von Paysage,f,-482,-439,,,145,,1,"245,",KS,Z,,,
245,Eva,von Kisatris,f,-462,-386,145,244,398,21,2,"378,399,",KS,AABA,,,1
246,Maximilian Julius,von Bergetal,m,-462,-461,14,159,,16,0,,BT,Z,,,1
247,Sibylle Sophie,Gräfin von Aurore,f,-508,-461,,,,,0,,KS,Z,,,
248,Maximilian,Reich,m,-482,-422,,,,,0,,EW,Z,,,
249,Eva Clara,Schilling,f,-482,-418,,,142,,1,"250,",EW,Z,,,
250,Jasper Andreas Hans Julius,von Möwenburg,m,-461,-400,142,249,304,17,3,"380,384,617,",MB,Z,,,1
251,Therese Christiane,Melzer,f,-482,-461,,,144,,1,"252,",MB,Z,,,
252,Sophia,von Möwenburg,f,-461,-454,144,251,,18,0,,MB,Z,,,1
253,Mathilde,Bosse,f,-483,-400,,,139,,1,"254,",BT,Z,,,
254,Hermann Friedrich,von Bergetal,m,-460,-388,139,253,617,16,9,"386,396,423,462,509,677,679,706,913,",BT,Z,,,1
255,Christina Charlotte Agnes,Baroness von Foret,f,-482,-460,,,,,0,,KS,Z,,,
256,Lea Frieda,Baronin von  Lepain,f,-482,-426,,,,,0,,KS,Z,,,
257,Georg,Baron von Poisson,m,-480,-414,,,,,0,,KS,Z,,,
258,Andreas Jules,Baron von Manson,m,-478,-447,,,170,,1,"259,",KS,Z,,,
259,Jules Dior,von Eichenwald,m,-460,-418,258,170,445,18,7,"413,445,471,497,511,628,729,",EW,Z,,,1
260,Otto Johann Jules Joseph,Graf von Aurore,m,-478,-460,,,173,,1,"261,",KS,Z,,,
261,Friederike Anne Frieda,von Kisatris,f,-460,-432,260,173,424,21,3,"388,425,446,",KS,ACBA,,,1
262,Juliane,Freiin von Plaje,f,-508,-459,,,,,0,,KS,Z,,,
263,Buri,Lorenzen,m,-502,-449,,,14,,1,"264,",BT,Z,,,
264,Else Barbara,von Bergetal,f,-459,-418,263,14,478,16,2,"426,479,",BT,Z,,,1
265,Joachim Martin,Rother,m,-482,-379,,,141,,1,"266,",EW,Z,,,
266,Luise,von Tiefenfels,f,-459,-431,265,141,480,22,1,"481,",TF,Z,-445,Amtsantritt als n-ter in Thronfolge: 4,1
267,Helene,Freiin von Sante,f,-482,-459,,,,,0,,KS,Z,,,
268,Paul Louis Philipp,Freiherr von Ciel,m,-481,-459,,,152,,1,"269,",KS,Z,,,
269,Louis Julien,von Kisatris,m,-459,-396,268,152,292,21,4,"401,591,640,691,",KS,ABCA,,,1
270,Friederike,Comtess von Aurore,f,-478,-459,,,,,0,,KS,Z,,,
271,Jules Heinrich Jacques Johannes,Graf von Aurore,m,-477,-437,,,,,0,,KS,Z,,,
272,Eva Julie Juliane,Baronin von Foret,f,-508,-426,,,,,0,,KS,Z,,,
273,Luca Anton,Peters,m,-500,-458,,,15,,1,"274,",TF,Z,,,
274,Anton Jacob Richard,von Eichenwald,m,-458,-397,273,15,307,18,7,"403,526,591,738,809,851,981,",EW,Z,,,1
275,Wilhelm Christian Anton,von Kisatris,m,-458,-420,173,159,573,21,4,"404,429,495,574,",KS,ACAA,,,1
276,Emma Helene,von Kisatris,f,-458,-412,173,159,642,21,6,"406,431,449,517,529,643,",KS,ACAB,,,1
277,Nelenia Amalie Friederike,Freiin von Tempete,f,-478,-438,,,175,,1,"278,",KS,Z,,,
278,Philipp Andreas Anton,von Kisatris,m,-458,-411,175,277,455,21,2,"417,778,",KS,ADAA,,,1
279,Otto Johannes,Baron von  Lepain,m,-480,-457,,,,,0,,KS,Z,,,
280,Christiane Helene,Baroness von Manson,f,-478,-457,,,175,,1,"281,",KS,Z,,,
281,Lea Caroline,von Kisatris,f,-457,-410,175,280,482,21,3,"433,451,483,",KS,ADAB,,,1
282,Niroi,Baron von Paysage,m,-475,-453,,,186,,3,"283,300,310,",KS,Z,,,
283,Niroi Friedrich,von Eichenwald,m,-457,-432,282,186,518,17,4,"465,497,511,519,",EW,Z,,,1
284,Lea Caroline,Freiin von Sante,f,-482,-456,,,,,0,,KS,Z,,,
285,August Julien Georg Heinrich,Baron von  Lepain,m,-480,-456,,,159,,1,"286,",KS,Z,,,
286,August Maximilian,von Kisatris,m,-456,-453,285,159,,21,0,,KS,ACAC,,,1
287,Henriette Nelenia,Rost,f,-478,-402,,,,,0,,MB,Z,,,
288,Wilhelm Karl Ole,Kruse,m,-478,-425,,,170,,1,"289,",MB,Z,,,
289,Karl August Idril,von Eichenwald,m,-456,-427,288,170,575,18,4,"436,453,467,576,",EW,Z,,,1
290,Eva Marie Amalie Elise,von Kisatris,f,-456,-410,130,178,152,20,1,"468,",KS,AAAB,,,1
291,Julien Niroi,Freiherr von Guerre,m,-475,-456,,,188,,1,"292,",KS,Z,,,
292,Christiane,von Kisatris,f,-456,-419,291,188,269,21,2,"438,691,",KS,ADBA,,,1
293,Friederike Helene,Freiin von Greve,f,-508,-437,,,,,0,,KS,Z,,,
294,Anne Christina,Baroness von Manson,f,-482,-431,,,145,,1,"295,",KS,Z,,,
295,Helene Sibylle,von Kisatris,f,-455,-452,145,294,,21,0,,KS,AABB,,,1
296,Agnes Christiane Catharina,Freiin von Plaje,f,-482,-438,,,,,0,,KS,Z,,,
297,Agnes Arwen,Stephan,f,-478,-455,,,,,0,,EW,Z,,,
298,Andreas Theodor Carl,Freiherr von Lamer,m,-478,-455,,,173,,1,"299,",KS,Z,,,
299,Eva,von Kisatris,f,-455,-380,298,173,340,21,2,"455,565,",KS,ACBD,,,1
300,Wilhelmine Clara Eleonore,von Eichenwald,f,-455,-439,282,186,,17,0,,EW,Z,,,1
301,Clara Juliane,Freiin von Guerre,f,-508,-434,,,,,0,,KS,Z,,,
302,Leo Christian Wilhelm,von Tiefenfels,m,-454,-432,13,141,485,22,2,"470,486,",TF,Z,,,1
303,Sophia Magdalene Dis Else,Winkelmann,f,-482,-454,,,142,,1,"304,",BT,Z,,,
304,Jasper Konrad,von Möwenburg,m,-454,-424,142,303,250,17,2,"500,617,",MB,Z,,,1
305,Camille Julie,Baronin von Lelac,f,-482,-454,,,146,,1,"306,",KS,Z,,,
306,Carl Luca Georg Christian,von Kisatris,m,-454,-441,146,305,,21,0,,KS,AACA,,,1
307,Paul Anton,von Tiefenfels,m,-454,-402,170,141,274,21,7,"471,501,532,653,694,720,981,",TF,Z,-413,Amtsantritt mit entfernung zum alten Fürsten: 1,1
308,Otto Joseph,von Tiefenfels,m,-454,-445,141,170,,22,0,,TF,Z,,,1
309,Christian Paul Andreas,von Kisatris,m,-454,-409,12,173,579,21,4,"473,503,528,580,",KS,AAH,,,1
310,Auguste,von Eichenwald,f,-454,-415,282,186,474,16,1,"475,",EW,Z,-431,Amtsantritt mit entfernung zum alten Fürsten: 1,1
311,Paul,Berner,m,-472,-434,,,194,,1,"312,",TF,Z,,,
312,Agnes Charlotte,von Eichenwald,f,-454,-417,311,194,644,18,5,"491,501,505,638,645,",EW,Z,,,1
313,Sibylle Camille,von Kisatris,f,-453,-445,130,145,,20,0,,KS,AAAC,,,1
314,Eva Lea,Riemer,f,-478,-418,,,,,0,,TF,Z,,,
315,Andreas Julius,Baumgärtner,m,-511,-452,,,,,0,,MU,Z,,,
316,Julie Emma Frieda,Bartels,f,-482,-452,,,142,,1,"317,",TF,Z,,,
317,Jasper August,von Möwenburg,m,-452,-407,142,316,696,17,3,"547,619,697,",MB,Z,,,1
318,Elise,Drescher,f,-478,-407,,,,,0,,TF,Z,,,
319,Sibylle,Baroness von Foret,f,-508,-451,,,,,0,,KS,Z,,,
320,Sibylle,Freifrau von Tempete,f,-489,-451,,,,,0,,KS,Z,,,
321,Sophia Agnes,Brunner,f,-483,-430,,,,,0,,EW,Z,,,
322,Luca Elise,Schweizer,f,-478,-410,,,,,0,,TF,Z,,,
323,Wilhelm Kili,Lechner,m,-472,-423,,,194,,1,"324,",BT,Z,,,
324,Kili Joachim Heinrich,von Eichenwald,m,-451,-440,323,194,,18,0,,EW,Z,,,1
325,Nelenia Sophie,Freifrau von Greve,f,-482,-450,,,,,0,,KS,Z,,,
326,Hans,Jacobi,m,-472,-434,,,192,,1,"327,",MU,Z,,,
327,Julie,von Tiefenfels,f,-450,-406,326,192,471,24,6,"562,592,655,753,766,900,",TF,Z,,,1
328,Anne Sophie,von Kisatris,f,-450,-433,206,188,,21,0,,KS,ABEA,,,1
329,Maximilian Wilhelm Johannes,von Kisatris,m,-449,-367,145,130,601,20,2,"602,621,",KS,AAAD,,,1
330,Leopold Bifur,Gehrke,m,-472,-411,,,194,,1,"331,",BT,Z,,,
331,Nelenia,von Eichenwald,f,-449,-411,330,194,656,18,4,"529,549,604,657,",EW,Z,,,1
332,Anton Louis,von Kisatris,m,-448,-429,206,145,,21,0,,KS,AABE,,,1
333,Juliane Therese,von Bergetal,f,-448,-391,169,207,582,14,2,"537,583,",BT,Z,-424,Amtsantritt mit entfernung zum alten Fürsten: 1,1
334,Karoline,von Bergetal,f,-448,-422,169,207,646,15,3,"539,551,647,",BT,Z,,,1
335,Anne,Freiin von Plaje,f,-467,-434,,,207,,1,"336,",KS,Z,,,
336,Jacques Gustav Johann,von Kisatris,m,-448,-413,207,335,698,21,5,"541,594,623,659,699,",KS,AFA,,,1
337,Agnes Sophie Ida,Freiin von Tempete,f,-489,-447,,,130,,1,"338,",KS,Z,,,
338,Clara Christiane,von Kisatris,f,-447,-435,130,337,,20,0,,KS,AAAE,,,1
339,Ashild Gertrud,Pütz,f,-478,-444,,,169,,1,"340,",BT,Z,,,
340,Frieda Eleonore Agda,von Bergetal,f,-447,-428,169,339,299,15,2,"554,565,",BT,Z,,,1
341,Andreas Richard Elohir Peter,Sattler,m,-472,-442,,,194,,1,"342,",EW,Z,,,
342,Tauriel Anna Else,von Eichenwald,f,-447,-412,341,194,370,18,3,"567,585,609,",EW,Z,,,1
343,Charlotte,Freiin von Neige,f,-468,-447,,,,,0,,KS,Z,,,
344,Michael Joachim Ferdinand Christian,Fleischer,m,-465,-447,,,216,,1,"345,",BT,Z,,,
345,Elurin,von Eichenwald,f,-447,-446,344,216,,18,0,,EW,Z,,,1
346,Andreas Luca Johannes,Graf von Aigul,m,-465,-435,,,220,,1,"347,",KS,Z,,,
347,Lea Julie Nelenia,von Kisatris,f,-447,-376,346,220,555,21,1,"556,",KS,AAFA,,,1
348,Zoe,Heß,f,-483,-446,,,,,0,,TF,Z,,,
349,Maximilian Andreas Heinrich,Braon von Foret,m,-477,-446,,,178,,1,"350,",KS,Z,,,
350,Eva Frieda Sophie,von Kisatris,f,-446,-403,349,178,660,21,3,"649,661,683,",KS,ACCB,,,1
351,Paul,Sachse,m,-472,-446,,,194,,1,"352,",MB,Z,,,
352,Johanna,von Eichenwald,f,-446,-422,351,194,624,18,1,"625,",EW,Z,,,1
353,Louise,Baronin von Poisson,f,-468,-367,,,,,0,,KS,Z,,,
354,Catharina,Rohr,f,-464,-446,,,225,,1,"355,",EW,Z,,,
355,Ludwig Jules Napiar,von Tiefenfels,m,-446,-433,225,354,,24,0,,TF,Z,,,1
356,Sinje Mathilde,Hacker,f,-483,-388,,,,,0,,MB,Z,,,
357,Jakob Georg Wilhelm Maximilian,Wiesner,m,-475,-445,,,,,0,,BT,Z,,,
358,Julie Agnes Ida,Freiin von Maree,f,-467,-445,,,,,0,,KS,Z,,,
359,Julien Jacob,Braon von Foret,m,-465,-445,,,220,,1,"360,",KS,Z,,,
360,Christiane Christina,von Kisatris,f,-445,-417,359,220,587,21,1,"588,",KS,AAFB,,,1
361,Nele Frieda Shira,Fleischmann,f,-464,-389,,,,,0,,MU,Z,,,
362,Camille Friederike,Vogler,f,-464,-445,,,,,0,,TF,Z,,,
363,Hans Georg,Hagedorn,m,-475,-442,,,,,0,,MU,Z,,,
364,Bernhard Theodor,Wiegand,m,-472,-444,,,,,0,,MU,Z,,,
365,Marie,Freiin von Glace,f,-467,-437,,,207,,1,"366,",KS,Z,,,
366,Johannes Julien Luca,von Kisatris,m,-444,-410,207,365,607,21,1,"608,",KS,AFB,,,1
367,Johanna Dorothea,Kersten,f,-464,-442,,,226,,1,"368,",EW,Z,,,
